,Stock,Close,Open,Low,High,Volume
107,SKF A,"174,5",175,172,176,8 322
108,SKF B,"171,75","173,2",171,"174,75",1 131 153
109,SSAB A,"28,03","28,11","27,88","28,53",3 184 119
110,SSAB B,"26,66","26,8","26,31","26,92",3 034 687
111,STORA ENSO A,126,"126,2",125,"127,8",11 979
112,STORA ENSO R,"119,85","119,2","118,8","121,5",336 433
113,SV. HANDELSBANKEN A,"86,46","86,26","85,8","87,5",3 123 879
114,SV. HANDELSBANKEN B,"94,1","94,5","93,5","95,5",71 001
115,SWECO A,500,510,500,510,1 556
116,SWECO B,511,"519,5",505,"519,5",124 124
117,SWEDBANK A,"143,96","144,12","143,16","145,56",1 862 581
118,SWEDISH MATCH,693,"694,6","689,2","696,6",361 497
119,SWEDISH ORPHAN BIOVITRUM,"187,85","190,5","187,55","192,15",387 731
120,TELE2 A,"121,5",124,"121,5",124,1 274
121,TELE2 B,"122,3","122,65","121,9","123,85",1 906 558
122,TELIA COMPANY,"33,71","33,8","33,6","34,08",13 887 968
123,THULE GROUP,"261,4","262,8","259,4","262,8",167 123
124,TIETOEVRY OYJ,254,"256,4","253,2","258,6",6 883
125,TRATON,"171,2","175,5","171,16","175,5",16 833
126,TRELLEBORG B,"147,5",148,"146,15","149,5",830 669
127,WALLENSTAM B,"111,8","114,7","111,6","115,6",302 234
128,VEONEER SDB,"91,9","94,7","91,2",95,230 123
129,WIHLBORGS FASTIGHETER,"139,1","143,6",139,"143,6",186 054
130,VITROLIFE,"230,4",234,"230,2","235,8",45 281
131,VOLVO A,163,"161,4","160,8","163,6",112 436
132,VOLVO B,"163,15","161,85","160,8","163,95",4 882 637
133,ÅF PÖYRY B,"243,4","244,8","242,2","245,2",62 381
